Tag,T.C,T.N,T.P,Year,Distance,Plot
P1-L-2019,23.55,2.6,0.865,2019,0,1
P1-10-2019,18.36,1.97,0.548,2019,10,1
P2-L-2019,20.49,2.31,0.848,2019,0,2
P2-10-2019,25.24,2.75,0.791,2019,10,2
P3-L-2019,26.95,3.05,0.713,2019,0,3
P3-10-2019,20.25,2.35,0.769,2019,10,3
P4-L-2019,21.48,2.45,0.408,2019,0,4
P4-10-2019,23.95,2.6,0.754,2019,10,4
P5-L-2019,19.02,2.18,0.564,2019,0,5
P5-10-2019,25.22,2.72,0.616,2019,10,5
P1-L-2022,18.65,2.11,0.448,2022,0,1
P1-10-2022,17.67,2.01,0.406,2022,10,1
P2-L-2022,18.83,2.19,0.455,2022,0,2
P2-10-2022,16.73,1.91,0.389,2022,10,2
P3-L-2022,20.21,2.33,0.45,2022,0,3
P3-10-2022,15.74,1.88,0.754,2022,10,3
P4-L-2022,20.29,2.35,0.705,2022,0,4
P4-10-2022,20.68,2.34,0.495,2022,10,4
P5-L-2022,12.87,1.66,0.411,2022,0,5
P5-10-2022,17.96,2.03,0.457,2022,10,5
