Plot,Distance,Ave_Intensity,Soil_C_ratio,Soil_N_ratio,Soil_P_ratio
1,L,548.9,0.792,0.812,0.518
1,1m,281.4375,,,
1,2m,78.5875,,,
1,3m,24.775,,,
1,4m,12.25,,,
1,5m,6.8,,,
1,7m,3.025,,,
1,10m,1.5,0.962,1.02,0.741
1,15m,0,,,
2,L,463.85,0.919,0.948,0.537
2,1m,149.76625,,,
2,2m,59.4125,,,
2,3m,18.3375,,,
2,4m,8.3125,,,
2,5m,6.05,,,
2,7m,3.7625,,,
2,10m,0.75,0.663,0.695,0.492
2,15m,0,,,
3,L,344,0.75,0.764,0.631
3,1m,169.325,,,
3,2m,63.6375,,,
3,3m,28.7375,,,
3,4m,9.075,,,
3,5m,6.05,,,
3,7m,2.25,,,
3,10m,0,0.777,0.8,0.98
3,15m,0,,,
4,L,318.45,0.945,0.959,1.73
4,1m,215.15,,,
4,2m,60.2875,,,
4,3m,26.3875,,,
4,4m,10.5875,,,
4,5m,5.2875,,,
4,7m,2.2625,,,
4,10m,0.75,0.863,0.9,0.656
4,15m,0,,,
5,L,188.6,0.677,0.761,0.729
5,1m,135.375,,,
5,2m,48.25,,,
5,3m,16.9,,,
5,4m,9.075,,,
5,5m,5.2875,,,
5,7m,2.25,,,
5,10m,0,0.712,0.746,0.742
5,15m,0,,,
